cast,average rating,total length of movie runtimes,number of movies stared in
 Cody Walker,60.0,130,1
 Natasha Liu Bordizzo,60.0,101,1
 Chris Tucker,60.0,96,1
 Kane Kosugi,60.0,103,1
Will Smith,59.666666666666664,372,3
 Rafi Gavron,59.5,200,2
 Elizabeth Hoffman,59.5,219,2
 Mike Vogel,59.5,183,2
 Anton Yelchin,59.0,115,1
 Anson Mount,59.0,90,1
 Earl Boen,59.0,109,1
 Bill Nunn,59.0,139,1
Jackie Chan,59.0,506,5
 Kathleen Robertson,59.0,90,1
 Stephen Dorff,59.0,129,1
 Beyoncé Knowles-Carter,59.0,94,1
 Eddie Kaye Thomas,59.0,90,1
 Kenneth Miller,59.0,90,1
 Ayo Makun,59.0,104,1
 Dylan Baker,59.0,139,1
 Elizabeth Banks,59.0,139,1
 Mark Famiglietti,59.0,109,1
 Marie Avgeropoulos,59.0,94,1
 Fred Savage,59.0,94,1
Val Kilmer,59.0,116,1
 Lev Prygunov,59.0,116,1
 Frank Whaley,59.0,129,1
 Adam Rayner,59.0,94,1
Tobey Maguire,59.0,139,1
 Evgeniy Lazarev,59.0,116,1
 Rosemary Harris,59.0,139,1
Ramsey Nouah,59.0,104,1
 Alun Armstrong,59.0,116,1
 Maggie Gyllenhaal,59.0,129,1
 Aarif Rahman,59.0,107,1
 Kristanna Loken,59.0,109,1
 Emmanuel Edunjobi,59.0,104,1
 Kirsten Dunst,59.0,139,1
 Amirah Vann,59.0,94,1
 Maria Bello,59.0,129,1
Luciano Acuna Jr.,59.0,94,1
 Robert Knepper,59.0,90,1
 Amyra Dastur,59.0,107,1
 Elisabeth Shue,59.0,116,1
 Julianne Moore,59.0,96,1
 Sam Medina,59.0,94,1
Cam Gigandet,59.0,90,1
 Michael Trucco,59.0,96,1
 Zhang Yixing,59.0,107,1
 Jon Bernthal,59.0,129,1
 Miguel A. Núñez Jr.,59.0,104,1
 Johnny M. Wu,59.0,94,1
 Jadagrace,59.0,115,1
 James D'Arcy,59.0,300,2
 Mo Gallini,59.0,90,1
 Moira Sinise,59.0,109,1
 Moon Bloodgood,59.0,115,1
 Morgan Flynn,59.0,129,1
 Xzibit,59.0,90,1
 Chopper Bernet,59.0,109,1
 Joe Don Baker,59.0,353,3
 Jane Alexander,59.0,115,1
 Topher Grace,59.0,139,1
 Jim Beaver,59.0,96,1
 Christian Steel,59.0,94,1
 William Mapother,59.0,129,1
 Christine Allado,59.0,104,1
 Nick Damici,59.0,129,1
 Valeriy Nikolaev,59.0,116,1
 Jessica Biel,59.0,96,1
 Christopher Lawford,59.0,109,1
 Claire Danes,59.0,109,1
 Jenny Gabrielle,59.0,90,1
 Thomas Kretschmann,59.0,96,1
 Miya Muqi,59.0,107,1
 José Zúñiga,59.0,96,1
 Michael Ironside,59.0,115,1
 Bruce Campbell,59.0,139,1
 Josh Yadon,59.0,94,1
 Bryce Dallas Howard,59.0,254,2
 Disha Patani,59.0,107,1
Arnold Schwarzenegger,59.0,109,1
 Thenjiwe Moseley,59.0,104,1
 Irina Apeksimova,59.0,116,1
 Bucci Franklin,59.0,104,1
 Common,59.0,115,1
 Theresa Russell,59.0,139,1
 Henry Goodman,59.0,116,1
 Helena Bonham Carter,59.0,115,1
 Samuel L. Jackson,58.666666666666664,298,3
 Dennis Quaid,58.5,291,2
 Doug Jones,58.5,222,2
 Tzi Ma,58.0,108,1
 Steven Seagal,58.0,133,1
 Daniel Zacapa,58.0,98,1
 Caleb Landry Jones,58.0,98,1
 Sam Lee,58.0,105,1
 Frank Langella,58.0,264,2
 Bill Murray,58.0,208,2
 Will Yun Lee,58.0,133,1
 Whip Hubley,58.0,133,1
 Wentworth Miller,58.0,97,1
 Crispin Glover,58.0,284,3
 Aleksandr Baluev,58.0,124,1
 Sergio Peris-Mencheta,58.0,97,1
 Alexander Strobele,58.0,124,1
 David Wilmot,58.0,98,1
Kurt Russell,58.0,133,1
 Tiger Chen,58.0,105,1
 Spencer Locke,58.0,97,1
Jim Sturgess,58.0,95,1
 Toby Stephens,58.0,133,1
 Boris Kodjoe,58.0,97,1
 Theo James,58.0,98,1
 Emilio Echevarría,58.0,133,1
 Stephanie Sigman,58.0,98,1
Alexander Skarsgård,58.0,98,1
 Charles Hallahan,58.0,108,1
 Shawn Roberts,58.0,97,1
 Zulay Henao,58.0,98,1
Milla Jovovich,58.0,97,1
 Tessa Thompson,58.0,98,1
 David Dencik,58.0,95,1
 Thomas Cocquerel,58.0,95,1
 Ali Larter,58.0,97,1
 Colin Salmon,58.0,133,1
 Linda Hamilton,58.0,108,1
 Jemima West,58.0,95,1
 Maurice Compte,58.0,98,1
 Len Cariou,58.0,133,1
 Marcel Iures,58.0,124,1
 Lucy Liu,58.0,406,4
 Johnny Knoxville,58.0,195,2
 Kenneth Tsang,58.0,133,1
 Gary Werntz,58.0,124,1
 Qing Ye,58.0,105,1
 Holt McCallany,58.0,124,1
 Rosamund Pike,58.0,133,1
 Iko Uwais,58.0,105,1
 Hai Yu,58.0,105,1
 Ron Rifkin,58.0,98,1
 Jamie Renée Smith,58.0,108,1
 Rob Riggle,58.0,98,1
 Malcolm Barrett,58.0,98,1
 Grant Heslov,58.0,108,1
 Paul Reiser,58.0,98,1
 Jonathan Pryce,58.0,238,2
 Kirk Trutner,58.0,108,1
 Mikhail Gorevoy,58.0,133,1
 Lawrence Makoare,58.0,133,1
 Kelen Coleman,58.0,98,1
 Ryan Kwanten,58.0,95,1
 Mark van Eeuwen,58.0,95,1
 Oliver Platt,58.0,133,1
 Jeff Chase,58.0,98,1
 Nicole Kidman,58.0,124,1
 Joe Morton,58.0,133,1
 Leonard Earl Howze,58.0,98,1
 Rene Medvesek,58.0,124,1
 Karen Mok,58.0,105,1
 Randall Batinkoff,58.0,124,1
 Jim Haynie,58.0,124,1
 Jeremy Foley,58.0,108,1
Nicolas Cage,57.666666666666664,691,6
 Kevin Dunn,57.5,249,2
 Sam Keeley,57.5,227,2
 Peter Stormare,57.333333333333336,365,3
 Dhiru Shah,57.0,82,1
 Kathy Ireland,57.0,82,1
 Eduardo Gómez,57.0,93,1
 Peter Weller,57.0,96,1
Dolph Lundgren,57.0,96,1
 Ivan Makarevich,57.0,103,1
 Thomas Bruggemann,57.0,82,1
 Ravshana Kurkova,57.0,103,1
 Karen Allen,57.0,123,1
 Ray Winstone,57.0,123,1
 Igor Jijikine,57.0,226,2
 Berto Romero,57.0,93,1
Emilio Estevez,57.0,82,1
 Quim Gutiérrez,57.0,93,1
 Bessart Kallaku,57.0,103,1
 Gokul,57.0,82,1
 Sílvia Abril,57.0,93,1
 Dani El Rojo,57.0,93,1
 William Shatner,57.0,82,1
 Louis Mandylor,57.0,103,1
 Tony Jaa,57.0,96,1
 Ervin Bejleri,57.0,103,1
 Emilio Gutiérrez Caba,57.0,93,1
 Alexandra Jiménez,57.0,93,1
 Eric Tsang,57.0,214,2
 Freddy Rodríguez,57.0,188,2
 Frank McRae,57.0,82,1
 Rossy de Palma,57.0,93,1
 Mike Dopud,57.0,96,1
 Celina Jade,57.0,96,1
 David Suchet,57.0,231,2
 Yuriy Kutsenko,57.0,103,1
 Carlos Areces,57.0,93,1
Imanol Arias,57.0,93,1
Armand Assante,57.0,103,1
 Sahajak Boonthanakit,57.0,96,1
 Sam Spruell,56.5,228,2
 Stephen Campbell Moore,56.5,191,2
 Robert Sheehan,56.5,191,2
 Harvey Keitel,56.5,251,2
 Tim Curry,56.5,180,2
 Christine Baranski,56.0,111,1
 Jason Sudeikis,56.0,111,1
 Vince Vaughn,56.0,101,1
 Owen Wilson,56.0,101,1
 Joel Marsh Garland,56.0,111,1
 Tomás Hanák,56.0,119,1
 Cathy Moriarty,56.0,111,1
 Rachel Hurd-Wood,56.0,104,1
 Jason Bateman,56.0,101,1
 Patrick Hurd-Wood,56.0,104,1
 Max von Sydow,56.0,104,1
 Carol Kane,56.0,111,1
 Juliette Lewis,56.0,101,1
 Carmen Electra,56.0,101,1
 Julian Bleach,56.0,119,1
 Candice Bergen,56.0,98,1
Ben Stiller,56.0,101,1
 Peter Greene,56.0,111,1
 Tom Green,56.0,98,1
 Dorian Missick,56.0,111,1
 Jeff Garlin,56.0,111,1
 Laura Greenwood,56.0,119,1
 Russell Andrews,56.0,98,1
 Adam Rose,56.0,111,1
 Amy Smart,56.0,101,1
Matt Damon,56.0,119,1
 Lena Headey,56.0,119,1
 Lindsay Sloane,56.0,98,1
 Snoop Dogg,56.0,101,1
Michael Douglas,56.0,98,1
 Ryan Reynolds,56.0,98,1
 George Cheung,56.0,101,1
 Robin Tunney,56.0,98,1
 Alice Krige,56.0,104,1
 Gerard Butler,56.0,111,1
 Mackenzie Crook,56.0,223,2
 Roger Ashton-Griffiths,56.0,119,1
 LL Cool J,56.0,98,1
 Richard Ridings,56.0,119,1
 Maria Ricossa,56.0,98,1
 Fred Williamson,56.0,101,1
 Sam Rockwell,56.0,98,1
 Adam LeFevre,56.0,111,1
James Purefoy,56.0,104,1
Jennifer Aniston,56.0,111,1
 Kelly Lynch,56.0,98,1
 Heath Ledger,56.0,119,1
John Travolta,56.0,283,3
 Arabella Field,55.5,247,2
 David Koechner,55.333333333333336,314,3
 Patrick Fugit,55.0,109,1
 Dave Matthews,55.0,113,1
 Patrick Breen,55.0,109,1
 Winston Chao,55.0,107,1
 Lizzy Caplan,55.0,95,1
 Lainie Kazan,55.0,113,1
 Lex Shrapnel,55.0,95,1
 Colleen Camp,55.0,109,1
 Lilly Aspell,55.0,95,1
 Kristin Chenoweth,55.0,100,1
 Erica Tremblay,55.0,95,1
 Jane Krakowski,55.0,109,1
 Ryan Hansen,55.0,100,1
 Eve Torres,55.0,107,1
 Fan Bingbing,55.0,107,1
 Jess Rowland,55.0,100,1
 John Turturro,55.0,113,1
 Jessica Carlson,55.0,109,1
 Gabriel Basso,55.0,99,1
 Charlotte Rae,55.0,113,1
 Kristen Schaal,55.0,109,1
 Finesse Mitchell,55.0,99,1
 Frankie Faison,55.0,109,1
 Chris Massoglia,55.0,109,1
 Mía Maestro,55.0,98,1
 Dan Fogler,55.0,99,1
 Mike Colter,55.0,95,1
 Dove Cameron,55.0,99,1
 Emmy Rossum,55.0,98,1
 Jacinda Barrett,55.0,98,1
 Emmanuelle Chriqui,55.0,113,1
 Rob Huebel,55.0,99,1
 Israel Broussard,55.0,95,1
 Sophie Turner,55.0,99,1
Kristen Bell,55.0,100,1
 Ido Mosseri,55.0,113,1
Kevin James,55.0,189,2
 Kevin Dillon,55.0,98,1
Josh Lucas,55.0,98,1
 Don McManus,55.0,109,1
 Rachael Harris,55.0,99,1
John C. Reilly,55.0,109,1
 Steve-O,55.0,99,1
 Richard Dreyfuss,55.0,98,1
 Beau Bridges,55.0,100,1
 Bradley Cooper,55.0,100,1
 Thomas Mann,55.0,99,1
 Michael Buffer,55.0,113,1
 Emma Booth,55.0,95,1
Hailee Steinfeld,55.0,99,1
 Michael Rosenbaum,55.0,100,1
 Toby Sebastian,55.0,99,1
 Michael Cerveris,55.0,109,1
 Josh Hutcherson,55.0,109,1
 Michael Jai White,55.0,197,2
 Dax Shepard,55.0,100,1
Michael Peña,55.0,95,1
 Joy Bryant,55.0,100,1
Adam Sandler,54.69586374695863,342,3
 Nick Swardson,54.69586374695863,342,3
 David Spade,54.543795620437955,229,2
 Terry Crews,54.5,230,2
 Ritchie Coster,54.5,210,2
 Shia LaBeouf,54.5,229,2
 David Zayas,54.5,196,2
Brandon Routh,54.0,154,1
 Marlon Brando,54.0,154,1
 Matt LeBlanc,54.0,204,2
 Kate Bosworth,54.0,154,1
 Nikolai Kinski,54.0,93,1
 Kal Penn,54.0,154,1
 Amelia Warner,54.0,93,1
 Yangzom Brauen,54.0,93,1
 Kevin Spacey,54.0,154,1
 Jonny Lee Miller,54.0,93,1
 Caroline Chikezie,54.0,93,1
Cameron Diaz,54.0,204,2
Charlize Theron,54.0,93,1
 Sam Huntington,54.0,154,1
 Parker Posey,54.0,154,1
 James Marsden,54.0,154,1
 Frances McDormand,54.0,93,1
 Drew Barrymore,54.0,204,2
 Tom Arnold,54.0,201,2
 Sophie Okonedo,54.0,93,1
 Eva Marie Saint,54.0,154,1
 Taylor Lautner,54.0,214,2
 Paterson Joseph,54.0,93,1
 Johnathon Schaech,53.5,198,2
 Paul Dooley,53.0,114,1
Matthew Broderick,53.0,139,1
 Harry Shearer,53.0,139,1
 Paul L. Smith,53.0,114,1
 Jon Lovitz,53.0,202,2
 Anthony Anderson,53.0,101,1
Steven Seagal,53.0,101,1
 David Vadim,53.0,101,1
 Debi Mazar,53.0,99,1
Robin Williams,53.0,114,1
 Hank Azaria,53.0,139,1
 Michael Lerner,53.0,139,1
 Doug Savant,53.0,139,1
 Macintyre Dixon,53.0,114,1
 Mia Cottet,53.0,99,1
 Roberta Maxwell,53.0,114,1
 Isaiah Washington,53.0,101,1
 Romany Malco,53.0,99,1
 Bill Duke,53.0,101,1
 Jennifer Love Hewitt,53.0,99,1
 Shelley Duvall,53.0,114,1
 Donald Moffat,53.0,114,1
 Malcolm Danare,53.0,139,1
 Ray Walston,53.0,114,1
 Donovan Scott,53.0,114,1
 Jill Hennessy,53.0,101,1
 Salma Hayek,53.0,215,2
 Richard Libertini,53.0,114,1
 DMX,53.0,101,1
 Maria Pitillo,53.0,139,1
 Daniel Kash,53.0,99,1
 Vicki Lewis,53.0,139,1
 Jean Reno,53.0,139,1
 Eva Mendes,52.5,211,2
 Luke Wilson,52.333333333333336,324,3
 Thomas Arnold,52.0,90,1
Paul Bettany,52.0,100,1
 Diana Hardcastle,52.0,90,1
 Adam Ferrara,52.0,91,1
 Thure Lindhardt,52.0,100,1
 Bobby Cannavale,52.0,91,1
 Peter Gerety,52.0,91,1
 Tim Ahern,52.0,100,1
 Peter Fonda,52.0,110,1
 Brett Cullen,52.0,110,1
 Demi Moore,52.0,106,1
 Keir O'Donnell,52.0,91,1
 Justin Theroux,52.0,106,1
 Ulrich Thomsen,52.0,95,1
 Rob Schneider,52.0,233,2
 Nikki Amuka-Bird,52.0,128,1
 Jeanette Miller,52.0,100,1
 Rodrigo Santoro,52.0,106,1
 Matt Long,52.0,110,1
 Bentley Kalu,52.0,100,1
Mila Kunis,52.0,128,1
 Raini Rodriguez,52.0,91,1
 Shirley Knight,52.0,91,1
 Claire Foy,52.0,95,1
 Deborah Rosan,52.0,100,1
 Sam Elliott,52.0,110,1
 Donal Logue,52.0,110,1
 Kate Walsh,52.0,100,1
Vanessa Kirby,52.0,100,1
 Wes Bentley,52.0,110,1
 Diarmaid Murtagh,52.0,90,1
 Oliver Dimsdale,52.0,90,1
 Josh Stamberg,52.0,100,1
 Kevin Durand,52.0,100,1
 Raquel Alessi,52.0,110,1
 Lucas Black,52.0,100,1
 Stephen Graham,52.0,95,1
 Tom McKay,52.0,100,1
 Gugu Mbatha-Raw,52.0,128,1
 Tom Wilkinson,52.0,90,1
 Adhir Kalyan,52.0,91,1
 David Ajala,52.0,100,1
 Jayma Mays,52.0,91,1
 Douglas Booth,52.0,128,1
 Stephen Rannazzisi,52.0,91,1
 Kevin Rees,52.0,95,1
 Adrianne Palicki,52.0,100,1
 Tuppence Middleton,52.0,128,1
 Charles S. Dutton,52.0,100,1
 Tyrese Gibson,52.0,100,1
 Damian Kell,52.0,100,1
 Eddie Redmayne,52.0,128,1
 Kate Hudson,52.0,90,1
 Jon Tenney,52.0,100,1
 Michael Jibson,52.0,90,1
 Osi Okerafor,52.0,100,1
 Andrew Hefler,52.0,95,1
James Franco,52.0,90,1
 Willa Holland,52.0,100,1
 Gary Valentine,52.0,91,1
 Jamal Mixon,52.0,91,1
 Kelly Gough,52.0,100,1
 Omar Sy,52.0,90,1
 Christina Cole,52.0,128,1
 Laurence Breuls,52.0,110,1
 Robert Patrick,52.0,106,1
 Cameron Harlow,52.0,100,1
 Philip Arditti,51.5,252,2
 Sofia Eng,51.0,106,1
Johnny Knoxville,51.0,104,1
 Kenneth Branagh,51.0,106,1
 Kevin Heffernan,51.0,104,1
 Burt Reynolds,51.0,104,1
 James Roday,51.0,104,1
 Frederique Van Der Wal,51.0,106,1
 Musetta Vander,51.0,106,1
 Jessica Simpson,51.0,104,1
 M.C. Gainey,51.0,104,1
 Seann William Scott,51.0,104,1
 Kevin Kline,51.0,106,1
 M. Emmet Walsh,51.0,106,1
 Tory Kittles,51.0,191,2
 Michael Roof,51.0,104,1
 Ted Levine,51.0,106,1
 Danny Trejo,49.0,120,1
 Steve Buscemi,49.0,120,1
 Nick Nolte,49.0,120,1
 Steve Zahn,49.0,120,1
 Lavell Crawford,49.0,120,1
 Jorge Garcia,49.0,120,1
 Saginaw Grant,49.0,120,1
 Will Forte,49.0,120,1
 Julia Jones,49.0,120,1
 Blake Shelton,49.0,120,1
 Whitney Cummings,49.0,120,1
 Vanilla Ice,49.0,120,1
 Christopher McDonald,48.0,95,1
 Hal Williams,48.0,95,1
 Willie Nelson,48.0,95,1
 Sherilyn Fenn,48.0,95,1
 Gary Cole,48.0,95,1
 Joel David Moore,48.0,95,1
 Harland Williams,48.0,95,1
 Jonathan Bennett,48.0,95,1
Randy Wayne,48.0,95,1
 April Scott,48.0,95,1
 Scottie Thompson,47.0,94,1
 Robin Gammell,47.0,94,1
 Crystal Reed,47.0,94,1
 Donald Faison,47.0,94,1
 Mark Dacascos,47.0,91,1
 J. Paul Boehmer,47.0,94,1
 Brittany Daniel,47.0,94,1
Eric Balfour,47.0,94,1
 Peter Cook,47.0,125,1
 DeRay Davis,47.0,91,1
Faye Dunaway,47.0,125,1
 Tanya Newbould,47.0,94,1
 Helen Slater,47.0,125,1
 Callum Keith Rennie,47.0,91,1
 Neil Hopkins,47.0,94,1
 Will Patton,47.0,91,1
 Nicollette Sheridan,47.0,91,1
 Niecy Nash,47.0,91,1
 Hart Bochner,47.0,125,1
Cedric the Entertainer,47.0,91,1
 John Cusack,46.0,91,1
 Bruce Willis,46.0,91,1
 Jessica Lowndes,46.0,91,1
 50 Cent,46.0,91,1
 Gia Mantegna,46.0,91,1
Jason Patric,46.0,91,1
 Rain,46.0,91,1
 Georges St-Pierre,45.0,90,1
 Patrick St. Esprit,45.0,91,1
 Rebecca De Mornay,45.0,91,1
 Jean-Claude Van Damme,45.0,90,1
 Christopher Meloni,45.0,91,1
 Sam Trammell,45.0,91,1
 Asante Jones,45.0,91,1
 Sara Malakul Lane,45.0,90,1
 Fabricio Werdum,45.0,90,1
 Gina Carano,45.0,90,1
 Dave Bautista,45.0,90,1
 Jordan Whalen,45.0,91,1
 Cain Velasquez,45.0,90,1
 Amanda Schull,45.0,91,1
 Matthew Ziff,45.0,90,1
Alain Moussi,45.0,90,1
 Paul Sloan,45.0,91,1
 T.J. Storm,45.0,90,1
 Luis Da Silva Jr.,44.0,186,2
Hayden Christensen,43.0,95,1
 Joe Chrest,43.0,95,1
 Jordana Brewster,43.0,95,1
 Akon,43.0,95,1
 Adrien Brody,43.0,95,1
 Lance E. Nichols,43.0,95,1
 Joe Dempsie,42.0,119,1
 Nicholas Pinnock,42.0,119,1
Johnny Harris,42.0,119,1
 Parker Sawyers,42.0,119,1
 Sofia Boutella,42.0,119,1
 Kyle Soller,42.0,119,1
